"","X","province","size_inclusion","n.x","X.x","n.y","knowledge","documentation","legal","finance","trust","inflation","bureaucracy","law","inappropriate","reason","restrictions_bank_account_value","restrictions_mobile_money_value","barriers_percentage","X.y","registered_value","zimra_value","compliance_percentage","X.x.x","bank_account_value","time_open_bank_value","sme_auction_value","insurance_value","pension_value","mm_account_value","time_open_mm_value","savings_facility_value","advice_sources_value","availability_percentage","X.y.y","funds_start_value","funds_ongoing_value","frequency_bank_account_value","successful_bids_value","commercial_loan_apply_value","comprehensive_value","staff_value","product_value","frequency_mobile_money_value","loan_mm_value","insurance_mm_value","investments_value","usage_percentage","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"21",21,"Masvingo","Small",39,21,39,0.0143853530950305,0.021505376344086,0.0801438535309503,0.188299403725065,0.352905728695202,0.45,0.0476190476190476,0.0264935988620199,0.0585995503143211,0.403846153846154,0.210526315789474,0.3125,30.9,21,0.641025641025641,0.641025641025641,64.1,21,0.487179487179487,0.631578947368421,0.0714285714285714,0.512820512820513,0.0256410256410256,0.435897435897436,0.294117647058824,0.897435897435897,0.41025641025641,41.85,21,0.236842105263158,0.435897435897436,1,1,0.205128205128205,0.125,0.475,0.3,1,0,0.235294117647059,0.487179487179487,45.84,0.691042510121458,0.308957489878542,0.641025641025641,0.358974358974359,0.418483992787398,0.581516007212602,0.458361779259612,0.541638220740388,2.20891392319411,0.552228480798527,55.22
"22",22,"Matabeleland North","Medium",3,22,3,0,0,0,0.333333333333333,0,0.5,0,0,0.111111111111111,0.4,0,1,46.67,22,1,1,100,22,1,0.666666666666667,0,1,0.333333333333333,0.666666666666667,1,0.333333333333333,1,66.67,22,0.333333333333333,0.333333333333333,1,0,0,0.166666666666667,0,0.333333333333333,1,0,0.5,0.333333333333333,33.33,0.533333333333333,0.466666666666667,1,0,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,2.53333333333333,0.633333333333333,63.33
"23",23,"Matabeleland North","Micro",103,23,103,0.253458642604008,0.0608342561830934,0.131367663344408,0.394031747274829,0.0510636492220651,0.0886708394698085,0.0882768361581921,0.0703165919497519,0.0326430928807166,0.612504416251639,0.105263157894737,0.673913043478261,46.39,23,0.427184466019417,0.155339805825243,29.13,23,0.184466019417476,0.473684210526316,0,0.0194174757281553,0.029126213592233,0.893203883495146,0.934782608695652,0.145631067961165,0.254901960784314,32.61,23,0.0970873786407767,0.087378640776699,0.789473684210526,0,0.16504854368932,0.5,1,0,0.956521739130435,0,0.0108695652173913,0.058252427184466,30.54,0.536106460791788,0.463893539208212,0.29126213592233,0.70873786407767,0.32613482668894,0.67386517331106,0.305385998237468,0.694614001762532,1.45888942164053,0.364722355410132,36.47
"24",24,"Matabeleland North","Small",36,24,36,0.0936507936507937,0,0.0333333333333333,0.418999615975422,0.210555555555556,0.227774577572965,0.1,0.320079365079365,0.00555555555555555,0.435185185185185,0.0645161290322581,0.346153846153846,28.2,24,0.722222222222222,0.694444444444444,70.83,24,0.861111111111111,0.612903225806452,0,0.416666666666667,0.333333333333333,0.722222222222222,0.576923076923077,0.194444444444444,0.416666666666667,45.94,24,0.166666666666667,0.416666666666667,1,0,0.166666666666667,0.3,0.2,0.4,0.961538461538462,0,0.0384615384615385,0.138888888888889,31.57,0.718048279876237,0.281951720123763,0.708333333333333,0.291666666666667,0.459363416352664,0.540636583647336,0.315740740740741,0.684259259259259,2.20148577030298,0.550371442575744,55.04
"25",25,"Matabeleland South","Medium",18,25,18,0.128571428571429,0,0,0.27859477124183,0.0535714285714286,0.0916666666666667,0,0,0.125,0.293650793650794,0.0555555555555556,0.0666666666666667,13.86,25,1,0.888888888888889,94.44,25,1,0.111111111111111,0.25,0.722222222222222,0.333333333333333,0.833333333333333,0.0666666666666667,0.833333333333333,0.777777777777778,54.75,25,0.333333333333333,0.277777777777778,1,0.25,0.0555555555555556,0.346153846153846,0.115384615384615,0.5,0.933333333333333,0,0.0666666666666667,0.722222222222222,38.34,0.861375661375661,0.138624338624339,0.944444444444444,0.055555555555556,0.547530864197531,0.452469135802469,0.383368945868946,0.616631054131054,2.73671991588658,0.684179978971646,68.42
"26",26,"Matabeleland South","Micro",81,26,81,0.113050304067217,0.0829248366013072,0.069030676136968,0.254883395267082,0.155147164417134,0.214988949166164,0.106874447391689,0.115452058490033,0.0511863663762398,0.447890946502058,0.787878787878788,0.652173913043478,62.93,26,0.518518518518518,0.45679012345679,48.77,26,0.407407407407407,0.848484848484849,0.0655737704918033,0.0246913580246914,0.0123456790123457,0.283950617283951,0.826086956521739,0.296296296296296,0.37037037037037,34.84,26,0.123456790123457,0.123456790123457,0.96969696969697,0.25,0.160493827160494,0.5,0,0,1,0,0.130434782608696,0.222222222222222,29,0.370685450858559,0.629314549141441,0.487654320987654,0.512345679012346,0.348356367099272,0.651643632900728,0.289980115161275,0.710019884838725,1.49667625410676,0.37416906352669,37.42
"27",27,"Matabeleland South","Small",40,27,40,0.160297139244508,0.037037037037037,0.0403726094515568,0.22765768588137,0.0890564248458985,0.148245614035088,0.188405797101449,0.159047619047619,0.166458036984353,0.349216524216524,0.392857142857143,0.5,41.4,27,0.925,0.75,83.75,27,0.7,0.357142857142857,0.0571428571428571,0.525,0.25,0.425,0.882352941176471,0.525,0.5,46.91,27,0.25,0.2,0.964285714285714,0,0.1,0.357142857142857,0.119047619047619,0.333333333333333,0.941176470588235,0,0.0588235294117647,0.525,32.07,0.585975444308778,0.414024555691222,0.8375,0.1625,0.46907096171802,0.53092903828198,0.320734126984127,0.679265873015873,2.21328053301092,0.553320133252731,55.33
"28",28,"Midlands","Medium",3,28,3,0.0666666666666667,0,0,0.2,0,0.333333333333333,0,0.166666666666667,0,0.277777777777778,0.333333333333333,0,20.37,28,1,0.666666666666667,83.33,28,1,1,0,0.666666666666667,0.666666666666667,0.666666666666667,1,1,1,77.78,28,0.666666666666667,0,1,0,0,0,0.5,0.25,1,0,0,1,36.81,0.796296296296296,0.203703703703704,0.833333333333333,0.166666666666667,0.777777777777778,0.222222222222222,0.368055555555556,0.631944444444444,2.77546296296296,0.693865740740741,69.39
"29",29,"Midlands","Micro",97,29,97,0.330463183033572,0.138327336508531,0.133270873629916,0.164647016277005,0.0299242424242424,0.056547619047619,0.0418448706076041,0.140995614035088,0.162544326241135,0.597281882397862,0.333333333333333,0.25,39.35,29,0.412371134020619,0.154639175257732,28.35,29,0.0927835051546392,0.555555555555556,0.0192307692307692,0.0103092783505155,0.0103092783505155,0.0412371134020619,0.5,0.278350515463918,0.298969072164948,20.07,29,0.180851063829787,0.206185567010309,0.888888888888889,0,0.0206185567010309,1,1,0,0.75,0.25,0,0.134020618556701,36.92,0.606461594756268,0.393538405243732,0.283505154639175,0.716494845360825,0.20074945418588,0.79925054581412,0.369213724582226,0.630786275417774,1.45992992816355,0.364982482040887,36.5
"30",30,"Midlands","Small",26,30,26,0.0814408187517431,0.113756613756614,0.121078431372549,0.157069646040234,0.0601008403361344,0.156130634071811,0.133333333333333,0.106802139037433,0.184538154655802,0.363247863247863,0.210526315789474,0.466666666666667,34.68,30,0.884615384615385,0.692307692307692,78.85,30,0.730769230769231,0.736842105263158,0.0588235294117647,0.346153846153846,0.153846153846154,0.576923076923077,0.666666666666667,0.692307692307692,0.730769230769231,52.15,30,0.44,0.384615384615385,1,1,0.307692307692308,0.0555555555555556,0.409722222222222,0.291666666666667,0.933333333333333,0.0666666666666667,0.333333333333333,0.461538461538462,47.37,0.653186384765332,0.346813615234668,0.788461538461538,0.211538461538462,0.521455725790091,0.478544274209909,0.473676994301994,0.526323005698006,2.43678064331896,0.609195160829739,60.92
